"word1"	"word2"	"freq"
"226"	"it"	"in"	17
"227"	"like"	"it"	17
"228"	"out"	"to"	17
"229"	"see"	"you"	17
"230"	"that"	"he"	17
"231"	"that"	"you"	17
"232"	"the"	"only"	17
"233"	"try"	"to"	17
"234"	"and"	"we"	16
"235"	"could"	"be"	16
"236"	"do"	"the"	16
"237"	"during"	"the"	16
"238"	"forward"	"to"	16
"239"	"got"	"a"	16
"240"	"had"	"been"	16
"241"	"how"	"much"	16
"242"	"in"	"your"	16
"243"	"is"	"so"	16
"244"	"is"	"that"	16
"245"	"like"	"to"	16
"246"	"off"	"the"	16
"247"	"that"	"they"	16
"248"	"that"	"we"	16
"249"	"to"	"me"	16
"250"	"to"	"say"	16
"251"	"up"	"the"	16
"252"	"up"	"with"	16
"253"	"went"	"to"	16
"254"	"which"	"is"	16
"255"	"with"	"you"	16
"256"	"you"	"get"	16
"257"	"according"	"to"	15
"258"	"at"	"least"	15
"259"	"at"	"pm"	15
"260"	"before"	"the"	15
"261"	"down"	"the"	15
"262"	"for"	"this"	15
"263"	"get"	"the"	15
"264"	"high"	"school"	15
"265"	"i"	"hate"	15
"266"	"i"	"like"	15
"267"	"i"	"said"	15
"268"	"in"	"his"	15
"269"	"it"	"has"	15
"270"	"it"	"to"	15
"271"	"like"	"the"	15
"272"	"most"	"of"	15
"273"	"of"	"people"	15
"274"	"of"	"those"	15
"275"	"the"	"next"	15
"276"	"the"	"one"	15
"277"	"think"	"i"	15
"278"	"through"	"the"	15
"279"	"up"	"on"	15
"280"	"well"	"as"	15
"281"	"what"	"you"	15
"282"	"who"	"is"	15
"283"	"with"	"me"	15
"284"	"you"	"all"	15
"285"	"after"	"the"	14
"286"	"and"	"you"	14
"287"	"be"	"in"	14
"288"	"can"	"you"	14
"289"	"did"	"you"	14
"290"	"enough"	"to"	14
"291"	"get"	"to"	14
"292"	"happy"	"birthday"	14
"293"	"i"	"made"	14
"294"	"if"	"the"	14
"295"	"im"	"so"	14
"296"	"it"	"all"	14
"297"	"it"	"doesnt"	14
"298"	"know"	"how"	14
"299"	"know"	"what"	14
"300"	"love"	"to"	14
"301"	"may"	"be"	14
"302"	"my"	"own"	14
"303"	"their"	"own"	14
"304"	"there"	"was"	14
"305"	"they"	"were"	14
"306"	"to"	"hear"	14
"307"	"too"	"much"	14
"308"	"was"	"in"	14
"309"	"what"	"a"	14
"310"	"when"	"he"	14
"311"	"would"	"have"	14
"312"	"you"	"could"	14
"313"	"you"	"like"	14
"314"	"about"	"it"	13
"315"	"and"	"his"	13
"316"	"and"	"is"	13
"317"	"and"	"this"	13
"318"	"day"	"in"	13
"319"	"did"	"i"	13
"320"	"do"	"not"	13
"321"	"dont"	"have"	13
"322"	"he"	"said"	13
"323"	"i"	"did"	13
"324"	"i"	"guess"	13
"325"	"i"	"see"	13
"326"	"i"	"still"	13
"327"	"im"	"going"	13
"328"	"is"	"no"	13
"329"	"let"	"me"	13
"330"	"looking"	"for"	13
"331"	"love"	"it"	13
"332"	"my"	"first"	13
"333"	"my"	"way"	13
"334"	"need"	"a"	13
"335"	"new"	"york"	13
"336"	"next"	"week"	13
"337"	"not"	"even"	13
"338"	"of"	"our"	13
"339"	"of"	"these"	13
"340"	"on"	"to"	13
"341"	"see"	"the"	13
"342"	"so"	"that"	13
"343"	"such"	"as"	13
"344"	"the"	"follow"	13
"345"	"the"	"past"	13
"346"	"the"	"people"	13
"347"	"to"	"help"	13
"348"	"to"	"keep"	13
"349"	"to"	"start"	13
"350"	"to"	"take"	13
"351"	"we"	"had"	13
"352"	"we"	"were"	13
"353"	"when"	"they"	13
"354"	"you"	"cant"	13
"355"	"you"	"do"	13
"356"	"you"	"should"	13
"357"	"a"	"long"	12
"358"	"and"	"more"	12
"359"	"as"	"the"	12
"360"	"at"	"all"	12
"361"	"but"	"they"	12
"362"	"day"	"and"	12
"363"	"decided"	"to"	12
"364"	"dont"	"care"	12
"365"	"every"	"day"	12
"366"	"for"	"years"	12
"367"	"get"	"it"	12
"368"	"i"	"miss"	12
"369"	"i"	"should"	12
"370"	"in"	"our"	12
"371"	"is"	"going"	12
"372"	"is"	"my"	12
"373"	"is"	"still"	12
"374"	"it"	"on"	12
"375"	"it"	"up"	12
"376"	"know"	"that"	12
"377"	"like"	"this"	12
"378"	"mothers"	"day"	12
"379"	"my"	"life"	12
"380"	"of"	"you"	12
