"word1"	"word2"	"word3"	"word4"	"freq"
"139"	"have"	"a"	"great"	"weekend"	2
"140"	"have"	"been"	"dying"	"to"	2
"141"	"have"	"the"	"nerve"	"to"	2
"142"	"have"	"to"	"do"	"with"	2
"143"	"have"	"to"	"go"	"to"	2
"144"	"have"	"you"	"got"	"a"	2
"145"	"he"	"is"	"the"	"best"	2
"146"	"he"	"went"	"on"	"to"	2
"147"	"head"	"and"	"paint"	"the"	2
"148"	"his"	"encounter"	"with"	"god"	2
"149"	"hm"	"love"	"at"	"first"	2
"150"	"hope"	"to"	"see"	"you"	2
"151"	"hope"	"you"	"enjoy"	"it"	2
"152"	"hope"	"you"	"have"	"a"	2
"153"	"how"	"much"	"of"	"a"	2
"154"	"i"	"actually"	"did"	"a"	2
"155"	"i"	"added"	"a"	"couple"	2
"156"	"i"	"am"	"going"	"to"	2
"157"	"i"	"am"	"happy"	"to"	2
"158"	"i"	"am"	"hoping"	"for"	2
"159"	"i"	"am"	"so"	"glad"	2
"160"	"i"	"am"	"so"	"happy"	2
"161"	"i"	"can"	"do"	"it"	2
"162"	"i"	"can"	"tell"	"you"	2
"163"	"i"	"could"	"not"	"have"	2
"164"	"i"	"didnt"	"get"	"to"	2
"165"	"i"	"didnt"	"realize"	"that"	2
"166"	"i"	"dont"	"care"	"if"	2
"167"	"i"	"dont"	"get"	"why"	2
"168"	"i"	"dont"	"know"	"how"	2
"169"	"i"	"dont"	"know"	"what"	2
"170"	"i"	"dont"	"know"	"where"	2
"171"	"i"	"had"	"no"	"idea"	2
"172"	"i"	"had"	"so"	"much"	2
"173"	"i"	"have"	"committed"	"to"	2
"174"	"i"	"have"	"to"	"say"	2
"175"	"i"	"hope"	"you"	"have"	2
"176"	"i"	"know"	"his"	"pain"	2
"177"	"i"	"know"	"that"	"i"	2
"178"	"i"	"look"	"forward"	"to"	2
"179"	"i"	"love"	"you"	"you"	2
"180"	"i"	"mean"	"it"	"is"	2
"181"	"i"	"miss"	"you"	"too"	2
"182"	"i"	"need"	"to"	"move"	2
"183"	"i"	"plan"	"on"	"making"	2
"184"	"i"	"probably"	"should"	"have"	2
"185"	"i"	"said"	"goodbye"	"to"	2
"186"	"i"	"still"	"dont"	"get"	2
"187"	"i"	"think"	"i"	"just"	2
"188"	"i"	"think"	"im"	"gonna"	2
"189"	"i"	"think"	"we"	"should"	2
"190"	"i"	"thought"	"it"	"would"	2
"191"	"i"	"want"	"to"	"make"	2
"192"	"i"	"will"	"never"	"be"	2
"193"	"i"	"will"	"see"	"you"	2
"194"	"i"	"wish"	"i"	"had"	2
"195"	"i"	"would"	"love"	"to"	2
"196"	"i"	"would"	"run"	"to"	2
"197"	"ideas"	"all"	"the"	"time"	2
"198"	"if"	"i"	"had"	"a"	2
"199"	"if"	"there"	"are"	"any"	2
"200"	"if"	"you"	"are"	"a"	2
"201"	"if"	"you"	"could"	"only"	2
"202"	"if"	"you"	"have"	"an"	2
"203"	"if"	"you"	"live"	"in"	2
"204"	"if"	"you"	"try"	"to"	2
"205"	"if"	"youre"	"going"	"to"	2
"206"	"im"	"trying"	"to"	"get"	2
"207"	"in"	"a"	"couple"	"of"	2
"208"	"in"	"a"	"few"	"months"	2
"209"	"in"	"one"	"of"	"the"	2
"210"	"in"	"order"	"to"	"have"	2
"211"	"in"	"the"	"day"	"and"	2
"212"	"in"	"the"	"history"	"of"	2
"213"	"in"	"the"	"life"	"of"	2
"214"	"in"	"the"	"mood"	"for"	2
"215"	"in"	"the"	"morning"	"and"	2
"216"	"in"	"the"	"next"	"week"	2
"217"	"in"	"the"	"secret"	"recipe"	2
"218"	"in"	"the"	"united"	"states"	2
"219"	"in"	"the"	"way"	"of"	2
"220"	"interested"	"in"	"the"	"evil"	2
"221"	"is"	"a"	"good"	"thing"	2
"222"	"is"	"a"	"result"	"of"	2
"223"	"is"	"going"	"to"	"be"	2
"224"	"is"	"not"	"easy"	"and"	2
"225"	"is"	"the"	"way"	"to"	2
"226"	"it"	"all"	"for"	"his"	2
"227"	"it"	"becomes"	"clear"	"that"	2
"228"	"it"	"has"	"always"	"been"	2
"229"	"it"	"is"	"the"	"most"	2
"230"	"it"	"makes"	"me"	"feel"	2
"231"	"it"	"was"	"time"	"to"	2
"232"	"its"	"all"	"about"	"the"	2
"233"	"its"	"good"	"enough"	"for"	2
"234"	"its"	"time"	"to"	"get"	2
"235"	"just"	"because"	"i"	"want"	2
"236"	"just"	"found"	"out"	"im"	2
"237"	"keeping"	"up"	"with"	"the"	2
"238"	"know"	"what"	"it"	"means"	2
"239"	"let"	"the"	"good"	"times"	2
"240"	"like"	"they"	"need"	"to"	2
"241"	"like"	"this"	"since"	"i"	2
"242"	"little"	"goes"	"a"	"long"	2
"243"	"little"	"in"	"the"	"way"	2
"244"	"look"	"at"	"each"	"others"	2
"245"	"look"	"forward"	"to"	"seeing"	2
"246"	"looking"	"forward"	"to"	"it"	2
"247"	"looking"	"forward"	"to"	"the"	2
"248"	"love"	"at"	"first"	"sight"	2
"249"	"matter"	"how"	"much"	"of"	2
"250"	"me"	"know"	"if"	"you"	2
"251"	"me"	"when"	"i"	"get"	2
"252"	"my"	"head"	"and"	"paint"	2
"253"	"my"	"my"	"my"	"my"	2
"254"	"need"	"to"	"get"	"off"	2
"255"	"nice"	"to"	"meet"	"you"	2
"256"	"night"	"i"	"was"	"at"	2
"257"	"now"	"back"	"to"	"the"	2
"258"	"of"	"prey"	"can"	"be"	2
"259"	"of"	"some"	"of"	"the"	2
"260"	"of"	"the"	"characters"	"wanting"	2
"261"	"of"	"the"	"month"	"and"	2
"262"	"off"	"to"	"a"	"great"	2
"263"	"on"	"the"	"last"	"day"	2
"264"	"on"	"the"	"other"	"side"	2
"265"	"on"	"the"	"verge"	"of"	2
"266"	"on"	"top"	"of"	"the"	2
"267"	"on"	"twitter"	"in"	"a"	2
"268"	"one"	"of"	"my"	"favorite"	2
"269"	"one"	"of"	"the"	"characters"	2
"270"	"out"	"of"	"the"	"country"	2
"271"	"out"	"there"	"who"	"are"	2
"272"	"over"	"the"	"course"	"of"	2
"273"	"part"	"in"	"the"	"secret"	2
"274"	"playing"	"the"	"music"	"for"	2
"275"	"put"	"a"	"gun"	"to"	2
"276"	"q"	"what"	"do"	"you"	2
"277"	"quarter"	"pounder"	"with"	"cheese"	2
"278"	"reading"	"and"	"reading"	"and"	2
"279"	"reason"	"for"	"a"	"party"	2
"280"	"say"	"mad"	"men"	"again"	2
"281"	"so"	"glad"	"to"	"be"	2
"282"	"so"	"happy"	"to"	"have"	2
"283"	"so"	"happy"	"to"	"see"	2
"284"	"so"	"much"	"so"	"that"	2
"285"	"some"	"sharp"	"crystal"	"malts"	2
"286"	"sunday"	"at"	"pm"	"et"	2
"287"	"supposed"	"to"	"be"	"a"	2
"288"	"thank"	"you"	"for"	"following"	2
"289"	"thank"	"you"	"so"	"much"	2
"290"	"thanks"	"for"	"the"	"mention"	2
"291"	"thanks"	"for"	"the"	"shout"	2
"292"	"that"	"gives"	"him"	"the"	2
"293"	"that"	"he"	"is"	"a"	2
"294"	"that"	"i"	"am"	"a"	2
"295"	"that"	"the"	"father"	"has"	2
"296"	"that"	"there"	"is"	"no"	2
"297"	"the"	"act"	"of"	"reading"	2
"298"	"the"	"back"	"of"	"my"	2
"299"	"the"	"chuck"	"shaffer"	"picture"	2
"300"	"the"	"collapse"	"of"	"communism"	2
"301"	"the"	"crushed"	"walnut"	"shells"	2
"302"	"the"	"excise"	"tax"	"for"	2
"303"	"the"	"front"	"of"	"the"	2
"304"	"the"	"genius"	"that"	"is"	2
"305"	"the"	"good"	"times"	"roll"	2
"306"	"the"	"middle"	"of"	"the"	2
"307"	"the"	"name"	"of"	"the"	2
"308"	"the"	"one"	"and"	"only"	2
"309"	"the"	"other"	"hand"	"is"	2
"310"	"the"	"people"	"that"	"they"	2
"311"	"the"	"purpose"	"of"	"life"	2
"312"	"the"	"right"	"in"	"the"	2
"313"	"the"	"secret"	"recipe"	"club"	2
"314"	"the"	"size"	"of"	"a"	2
"315"	"the"	"spirit"	"of"	"the"	2
"316"	"the"	"thing"	"i"	"really"	2
"317"	"the"	"time"	"it"	"was"	2
"318"	"the"	"way"	"to"	"go"	2
"319"	"the"	"way"	"you"	"do"	2
"320"	"there"	"are"	"so"	"many"	2
"321"	"there"	"seems"	"to"	"be"	2
"322"	"they"	"dont"	"care"	"they"	2
"323"	"they"	"would"	"still"	"be"	2
"324"	"think"	"i"	"should"	"be"	2
"325"	"this"	"blog"	"i"	"want"	2
"326"	"this"	"is"	"going"	"to"	2
"327"	"this"	"is"	"gonna"	"be"	2
"328"	"those"	"of"	"us"	"who"	2
"329"	"thx"	"for"	"the"	"follow"	2
"330"	"time"	"after"	"time"	"after"	2
"331"	"time"	"i"	"get"	"a"	2
"332"	"time"	"to"	"get"	"a"	2
"333"	"to"	"a"	"great"	"start"	2
"334"	"to"	"all"	"of"	"the"	2
"335"	"to"	"all"	"of"	"you"	2
